Effect,Network - Yeo,Order,Stat,G1,G2,G3
h2r,Default,1,h2 - Var,0.2204802173,0.1610507318,0.2781991213
h2r,Default,1,Prob. > |t|,0.0000717,0.003002,0.0000021
h2r,Cont,2,h2 - Var,0.1916429044,0.138207269,0.2777402528
h2r,Cont,2,Prob. > |t|,0.0011109,0.0068778,0.0000011
h2r,Limbic,3,h2 - Var,0.0878037152,0.032117014,0.1584885516
h2r,Limbic,3,Prob. > |t|,0.085664,0.2750936,0.0025373
h2r,SalVentAttn,4,h2 - Var,0.2479459849,0.0827571163,0.216212827
h2r,SalVentAttn,4,Prob. > |t|,0.0000117,0.0810908,0.0001179
h2r,DorsAttn,5,h2 - Var,0.1954227881,0.0227032754,0.1829384559
h2r,DorsAttn,5,Prob. > |t|,0.0005851,0.3509862,0.0009664
h2r,SomMot,6,h2 - Var,0.0827126086,0.0632415596,0
h2r,SomMot,6,Prob. > |t|,0.0548235,0.1387047,0.5
h2r,Vis,7,h2 - Var,0.0839545923,0.0247887337,0.0923584411
h2r,Vis,7,Prob. > |t|,0.0704458,0.3160313,0.0576851
